application_id,cid,loan_product_id,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,debt_to_income_ratio,application_date,status
159,8755,2,24211,5.35,56,540,84149,0.17,2023-11-14,approved
160,3104,3,201319,4.86,255,690,42705,0.33,2024-06-18,rejected
161,1925,18,11337,5.34,26,718,56327,0.49,2024-07-25,approved
162,975,19,9814,7.07,10,593,50845,0.12,2024-09-16,rejected
163,3357,14,15487,6.43,18,693,50566,0.5,2023-06-05,approved
164,7522,20,14940,14.72,39,684,40464,0.56,2023-10-10,approved
165,2347,18,13158,4.87,29,688,38691,0.6,2023-03-14,rejected
166,4372,6,98181,13.72,32,557,35883,0.35,2024-11-20,approved
167,9794,18,30293,5.77,31,753,19034,0.4,2025-01-01,approved
168,9959,7,75042,7.6,87,656,61263,0.49,2023-07-14,rejected
169,4750,6,17953,6.7,60,637,44166,0.4,2022-06-03,approved
170,4755,5,173969,6.8,111,618,50778,0.38,2022-08-17,rejected
171,7562,19,4384,8.22,14,600,87296,0.5,2023-05-08,rejected
172,5245,2,16575,4.49,77,708,33854,0.2,2022-07-06,approved
173,1459,7,289936,8.59,47,665,23991,0.34,2024-03-26,approved
174,935,15,12468,3.73,352,612,52897,0.29,2024-05-13,rejected
175,9325,4,5454,9.5,66,710,11534,0.23,2023-08-03,rejected
176,4247,10,1534,17.98,10,624,51761,0.58,2024-07-30,rejected
177,8528,15,293039,4.63,210,705,36657,0.22,2024-04-03,approved
178,5670,10,1268,15.52,8,779,49807,0.45,2023-11-30,approved
179,2854,17,144837,9.42,37,643,13237,0.2,2023-03-23,approved
180,1082,5,146975,5.48,19,660,33544,0.54,2023-04-21,rejected
181,4602,8,9235,5.65,93,649,51446,0.53,2023-09-07,rejected
182,3634,9,587825,3.0,195,742,35844,0.32,2023-06-13,rejected
183,831,16,200508,7.34,33,798,44295,0.6,2023-09-18,approved
184,468,11,26851,9.7,16,684,39165,0.46,2025-03-12,rejected
185,7627,16,279874,6.54,98,660,39497,0.59,2023-12-15,approved
186,5030,3,329940,3.07,191,576,73695,0.57,2022-03-29,approved
187,2457,10,2907,7.08,9,692,82069,0.21,2022-07-27,rejected
188,8379,20,39281,5.68,45,636,55540,0.32,2024-03-17,approved
189,8167,9,258580,3.62,162,636,56142,0.37,2024-09-30,rejected
190,256,18,39624,4.38,49,737,79153,0.54,2023-01-07,approved
191,5540,7,232999,5.07,116,704,45618,0.27,2024-11-26,rejected
192,8714,19,7286,10.14,6,649,104095,0.22,2022-11-16,approved
193,792,4,19485,9.11,79,761,65360,0.56,2023-10-23,approved
194,5817,11,22052,5.96,45,703,28122,0.25,2023-11-15,approved
195,5403,16,131001,5.68,99,600,63718,0.42,2022-12-29,rejected
196,7200,12,38307,9.66,17,647,45885,0.49,2023-11-29,approved
197,5662,9,175713,4.94,173,694,71420,0.15,2024-07-23,approved
198,7030,17,140185,5.47,41,751,47663,0.15,2022-10-13,approved
199,8159,13,5447,10.51,23,737,35971,0.15,2024-01-14,approved
200,9583,5,139376,9.15,18,754,41024,0.21,2022-08-28,approved
201,5749,8,46886,4.81,185,727,72605,0.5,2025-03-02,approved
202,1429,2,33861,5.09,78,743,52458,0.57,2023-07-08,approved
203,7964,4,24628,9.98,37,696,20998,0.13,2024-07-21,approved
204,9348,15,68560,3.19,288,761,80211,0.18,2024-06-04,approved
205,736,7,24630,7.38,26,684,71637,0.47,2023-10-30,approved
206,1721,11,46486,13.3,16,655,67808,0.4,2022-11-11,rejected
207,5541,10,3363,15.62,6,675,56031,0.28,2022-11-13,rejected
208,500,10,4966,11.54,14,613,12460,0.22,2022-07-20,rejected
209,4583,14,15127,6.86,27,700,18560,0.33,2023-09-14,approved
210,4525,1,19952,10.61,39,709,56604,0.37,2025-02-10,rejected
211,2175,19,3882,10.16,6,603,70878,0.21,2025-02-06,approved
212,8927,2,24728,3.6,50,648,60279,0.56,2025-02-03,rejected
213,7475,12,7356,6.83,38,815,96097,0.15,2023-09-27,approved
214,2824,17,64008,7.07,16,649,93628,0.22,2023-07-07,approved
215,8109,4,22871,7.42,86,619,34201,0.15,2022-06-21,approved
216,3931,14,9309,7.81,32,634,41564,0.17,2023-11-24,rejected
217,1377,2,16264,5.07,24,644,85883,0.31,2022-09-27,rejected
218,4605,14,21836,10.01,24,614,38091,0.18,2025-01-04,rejected
219,1180,6,68238,11.56,38,669,29680,0.17,2024-05-05,approved
220,8913,16,241995,5.15,29,609,64561,0.31,2022-08-13,approved
221,7070,14,20564,7.77,17,640,18292,0.54,2022-09-30,rejected
222,603,1,24616,12.91,50,662,61102,0.33,2024-06-28,approved
223,2507,12,34454,5.28,35,658,35560,0.51,2024-03-31,approved
224,9364,5,5572,10.52,38,629,8111,0.56,2023-10-16,approved
225,8761,7,233530,5.03,67,626,62696,0.33,2023-09-01,rejected
226,8068,15,154079,3.7,243,711,65554,0.45,2024-12-25,rejected
227,3760,17,133855,8.01,44,711,29063,0.58,2024-08-25,rejected
228,7438,11,26698,7.04,25,688,67416,0.16,2022-06-12,approved
229,4787,18,40989,4.06,33,730,39321,0.5,2024-03-13,rejected
230,6344,8,17855,5.45,188,672,67424,0.4,2023-05-16,rejected
231,3928,19,7352,6.72,17,578,51093,0.42,2024-05-14,rejected
232,5635,1,26154,5.55,43,720,106527,0.14,2024-04-27,approved
233,279,3,407238,3.0,242,643,57299,0.34,2024-09-30,rejected
234,5733,11,7583,14.43,33,615,25098,0.16,2024-05-17,rejected
235,449,9,417990,3.87,155,689,50286,0.15,2024-01-16,approved
236,5325,2,36571,6.29,65,718,28948,0.38,2024-06-04,rejected
237,166,5,113624,7.14,51,675,39018,0.51,2022-04-13,approved
238,9183,19,9787,14.01,6,614,69246,0.57,2025-02-19,approved
239,4121,20,46143,12.78,51,628,59814,0.55,2025-02-14,rejected
240,6627,11,47750,14.36,27,764,91032,0.43,2023-09-16,approved
241,7615,8,27443,5.12,130,765,41285,0.16,2022-10-17,approved
242,8175,6,26194,6.32,46,625,71941,0.26,2023-07-01,approved
243,7179,15,89053,4.05,66,669,12202,0.35,2022-07-31,rejected
244,9708,10,4539,12.73,27,636,31080,0.43,2025-02-25,approved
245,8907,2,29376,7.99,74,719,28214,0.49,2024-04-06,rejected
246,3410,17,78572,9.5,52,600,81965,0.13,2022-10-09,approved
247,8436,13,6360,6.75,14,730,68713,0.43,2022-07-06,approved
248,4972,6,76197,11.07,32,647,-3724,0.13,2023-09-27,rejected
249,3832,16,366647,4.63,93,733,58654,0.15,2022-10-31,rejected
250,3550,12,18364,7.31,17,703,42129,0.58,2022-10-27,approved
251,6076,15,364944,2.83,298,684,23260,0.35,2024-10-03,rejected
252,4805,8,35070,6.11,148,694,63137,0.57,2023-09-05,rejected
253,5635,7,207152,7.96,68,720,106527,0.39,2022-07-27,approved
254,7361,3,156319,2.68,359,684,49884,0.31,2024-11-08,rejected
255,1941,19,7103,10.49,14,603,50444,0.14,2024-02-29,rejected
256,4694,13,3423,7.72,14,716,60057,0.48,2022-08-05,rejected
257,350,17,138539,8.36,52,785,26788,0.45,2023-07-24,rejected
258,2156,13,7945,8.34,23,672,70229,0.1,2023-08-03,approved
259,4400,2,15364,4.61,58,633,30693,0.15,2023-05-31,rejected
260,2697,8,18501,6.49,77,705,26042,0.41,2022-09-18,rejected
261,5844,9,494016,3.58,180,637,62045,0.48,2022-04-27,rejected
262,6657,15,408512,3.0,337,686,55002,0.21,2022-06-21,rejected
263,5607,6,135528,8.64,67,695,42350,0.57,2023-07-29,rejected
264,6938,3,439143,4.28,345,704,-1109,0.45,2024-01-06,approved
265,4844,9,383426,4.49,334,698,28983,0.58,2024-06-11,rejected
266,1298,8,44796,5.38,181,677,63218,0.21,2022-09-28,rejected
267,9587,18,6832,5.73,35,613,71795,0.39,2024-12-18,approved
268,2781,4,24876,4.57,91,715,37940,0.11,2024-12-18,rejected
269,9088,10,3830,11.32,10,704,75037,0.29,2023-03-03,approved
270,5466,5,19475,11.64,61,594,48460,0.35,2023-05-13,approved
271,7016,14,20245,5.13,32,724,56033,0.42,2022-10-24,rejected
272,3237,1,3188,8.23,39,721,71576,0.52,2024-06-01,rejected
273,6548,20,11516,11.89,46,751,46295,0.25,2024-07-05,approved
274,8510,5,135995,6.68,41,588,62718,0.41,2024-08-27,rejected
275,4599,4,39920,6.8,70,688,43445,0.39,2022-08-07,approved
276,2494,6,120650,11.51,52,729,49998,0.17,2025-01-08,approved
277,2458,4,28655,8.75,60,704,14236,0.53,2022-12-13,rejected
278,7566,17,178166,6.68,58,644,71232,0.19,2022-11-26,approved
279,8072,9,205020,3.62,205,618,59392,0.1,2024-10-06,rejected
280,6427,4,29839,5.19,27,765,51739,0.23,2022-10-06,approved
281,7148,13,7786,15.34,14,665,49938,0.39,2024-01-01,rejected
282,7929,13,5500,10.24,21,752,51880,0.47,2022-04-14,approved
283,9116,10,4112,12.58,23,694,42518,0.4,2022-06-07,rejected
284,8038,5,163735,7.23,75,625,54659,0.33,2023-04-23,rejected
285,2345,14,24042,11.97,18,772,39489,0.3,2025-03-14,approved
286,4583,16,434682,6.36,89,700,18560,0.16,2022-06-03,rejected
287,3999,16,480733,6.17,55,686,77374,0.44,2023-04-10,approved
288,4934,2,45749,7.22,83,715,100390,0.21,2023-10-15,rejected
289,1287,4,31702,7.85,104,661,74914,0.32,2023-12-05,approved
290,4769,10,4998,17.97,7,619,943,0.38,2023-07-11,rejected
291,2930,18,39961,4.88,31,652,55046,0.56,2023-01-29,approved
292,6324,5,122431,6.75,100,757,48122,0.54,2023-07-01,approved
293,906,12,3019,4.75,20,649,43030,0.57,2024-03-16,approved
294,3412,15,57800,2.87,74,776,76898,0.26,2024-03-05,approved
295,114,13,5626,13.81,18,625,21934,0.1,2023-10-29,approved
296,8412,17,124846,7.29,56,719,39407,0.31,2023-11-16,approved
297,2429,16,201784,7.36,28,643,60141,0.36,2023-04-05,rejected
298,9508,13,1196,14.95,15,695,52615,0.12,2024-04-23,approved
299,436,3,180486,2.94,242,692,36192,0.44,2023-12-11,approved
300,3418,7,286330,6.98,71,655,60428,0.29,2022-08-10,approved
301,5039,11,46807,8.76,36,685,53243,0.48,2022-04-12,approved
302,6734,9,673048,2.63,327,625,93650,0.45,2023-05-14,approved
303,179,16,441516,8.41,68,721,33778,0.12,2025-03-10,rejected
304,9631,5,197001,11.99,99,666,62898,0.51,2022-08-15,rejected
305,4807,6,47193,10.16,52,627,40010,0.22,2023-09-27,approved
306,8421,3,281684,2.54,208,693,14648,0.48,2023-06-25,rejected
307,2825,17,185876,7.0,14,774,15152,0.5,2023-10-10,rejected
308,9856,12,19014,6.15,18,689,68812,0.13,2022-07-19,rejected
309,8074,16,459665,7.77,58,575,36636,0.25,2024-01-10,rejected
310,2668,3,427252,3.9,162,753,20548,0.32,2024-04-11,approved
311,9314,7,34172,7.52,65,598,91978,0.14,2022-08-05,rejected
312,5932,19,5745,10.07,16,745,43685,0.59,2023-05-28,rejected
313,5972,20,20218,7.89,37,706,53603,0.26,2022-10-01,rejected
314,6786,3,390783,2.76,309,648,33915,0.43,2023-04-22,rejected
315,305,1,15299,13.45,56,764,48593,0.13,2025-01-07,approved
316,7974,15,411225,2.61,96,680,60049,0.23,2022-10-17,rejected
317,2270,17,86273,6.84,13,712,24322,0.53,2022-12-10,rejected
318,3326,7,242124,7.18,45,663,52830,0.1,2022-08-10,rejected
319,3663,3,445026,3.03,136,736,66597,0.47,2024-05-10,rejected
320,2038,15,429207,2.85,346,676,66825,0.22,2022-06-26,rejected
321,1882,20,26515,8.11,31,574,27134,0.16,2022-05-17,rejected
322,8034,14,26552,10.15,18,747,42455,0.46,2023-07-17,rejected
323,8020,1,14990,11.63,21,692,63349,0.27,2025-03-17,rejected
324,9129,16,316950,6.35,73,665,49513,0.42,2024-05-20,approved
325,5408,9,734159,2.86,288,729,59304,0.57,2023-08-17,approved
326,9177,12,36774,5.73,41,682,38514,0.12,2023-06-05,rejected
327,7335,15,228743,3.51,93,754,64614,0.41,2025-01-02,rejected
328,928,3,116884,4.22,156,603,69934,0.44,2024-06-20,rejected
329,3938,17,23493,8.88,22,582,87351,0.56,2024-03-07,approved
330,4495,8,40388,7.83,66,686,37364,0.58,2023-01-30,rejected
331,872,13,2033,12.88,15,716,47113,0.14,2022-05-27,approved
332,9099,13,1827,13.78,12,699,64646,0.22,2022-10-05,rejected
333,960,15,257403,3.84,204,660,73656,0.4,2023-05-20,rejected
334,7837,18,20270,5.33,17,725,56876,0.48,2023-10-23,approved
335,8041,2,31395,3.07,46,701,60027,0.35,2024-02-21,approved
336,5458,6,94951,10.47,58,666,86882,0.2,2023-11-13,rejected
337,5158,13,1784,6.44,10,728,51015,0.24,2024-06-15,rejected
338,274,10,3977,11.91,7,669,45188,0.27,2023-04-11,approved
339,6115,12,6545,8.14,40,589,33923,0.24,2023-05-05,rejected
340,5785,6,96551,7.28,56,680,39669,0.35,2024-06-21,rejected
341,6457,17,164861,5.54,40,664,40940,0.14,2024-03-26,approved
342,9519,15,174556,4.84,323,620,68807,0.47,2025-03-20,rejected
343,8985,20,8720,6.32,44,670,56115,0.59,2023-06-15,approved
344,8305,16,216259,5.97,110,715,56147,0.56,2023-08-10,rejected
345,1192,20,13765,9.03,30,637,15293,0.34,2022-06-10,rejected
346,210,3,297769,2.69,294,584,18061,0.22,2024-07-30,rejected
347,7768,8,43492,6.73,181,662,69044,0.37,2024-08-18,rejected
348,7492,20,44325,6.32,29,691,13768,0.21,2023-09-14,rejected
349,5835,19,3374,12.75,20,777,44119,0.32,2024-07-17,approved
350,2826,16,476689,4.64,70,681,59078,0.25,2024-08-20,rejected
351,269,13,2868,13.71,8,619,36455,0.34,2023-04-19,approved
352,7250,5,188062,10.99,48,723,54130,0.46,2022-08-17,rejected
353,6037,6,19132,12.09,20,633,55634,0.15,2022-09-17,approved
354,6224,1,19396,13.41,44,696,36318,0.2,2023-07-11,approved
355,1473,16,493977,8.94,38,722,57525,0.15,2022-05-04,approved
356,7543,16,270613,8.0,35,648,87093,0.56,2024-02-22,approved
357,4746,9,328606,2.82,357,727,63258,0.14,2024-07-13,rejected
358,3373,16,407100,5.53,76,666,39730,0.15,2024-07-22,rejected
359,8666,17,19540,7.9,12,557,36231,0.24,2022-05-31,rejected
360,4893,2,23374,3.65,68,766,70821,0.14,2022-09-07,approved
361,6026,19,2031,7.03,19,625,70638,0.58,2025-03-21,approved
362,2909,10,1786,13.4,34,691,30880,0.53,2024-06-26,rejected
363,9808,9,846018,4.74,274,627,81519,0.55,2024-01-09,rejected
364,977,20,46012,7.13,29,672,40767,0.24,2024-06-07,approved
365,7683,14,28503,7.89,25,666,67783,0.28,2024-04-16,approved
366,3068,3,468313,4.0,317,717,14515,0.26,2022-07-25,rejected
367,747,12,26060,8.92,34,709,47090,0.32,2023-01-09,rejected
368,6376,6,27759,12.67,33,754,44728,0.18,2024-11-20,rejected
369,5858,4,29221,4.2,77,696,55065,0.28,2023-03-06,approved
370,5626,10,2524,8.5,13,705,17936,0.38,2022-12-14,rejected
371,8212,9,804180,4.33,226,669,30225,0.36,2023-02-06,approved
372,2536,19,4843,8.89,9,725,78552,0.21,2025-01-19,approved
373,7141,16,431730,4.68,58,659,67810,0.57,2024-02-04,approved
374,30,9,414558,3.83,313,611,46463,0.35,2022-10-21,approved
375,6149,18,18055,5.88,55,672,40867,0.16,2023-08-04,rejected
376,4583,15,69106,2.87,205,700,18560,0.52,2023-08-25,approved
377,9249,13,5159,6.36,11,720,26891,0.51,2024-06-27,rejected
378,7715,16,144041,7.38,29,688,64866,0.18,2022-04-27,approved
379,4484,8,33377,4.04,222,695,61565,0.23,2022-12-25,approved
380,2003,2,27342,6.86,80,651,25465,0.13,2024-07-31,rejected
381,3601,1,14579,12.8,24,684,50931,0.55,2023-09-27,approved
382,405,4,13944,5.82,111,659,13813,0.32,2023-01-19,rejected
383,3783,15,210737,4.57,173,710,56517,0.26,2022-08-06,rejected
384,5369,13,1740,11.02,7,634,64809,0.44,2022-10-10,rejected
385,7757,3,422927,2.98,256,786,16555,0.51,2022-07-18,approved
386,5911,12,29416,4.21,25,618,86738,0.17,2023-10-07,approved
387,4568,2,37532,4.27,42,673,34212,0.52,2024-10-28,approved
388,7213,8,26782,3.75,131,630,44194,0.19,2023-10-10,approved
389,6965,18,24207,6.6,47,684,58046,0.14,2024-02-06,rejected
390,5682,14,20899,6.94,24,705,31763,0.52,2024-01-10,rejected
391,1765,16,97050,5.46,110,632,39915,0.25,2023-06-14,rejected
392,5382,13,4643,7.68,12,680,37422,0.48,2023-03-29,approved
