tid,cid,pid,amount,purchase_date,payment_mode
83,186,25,185.85000000000002,2025-02-18 15:07:25.987273,Debit
84,826,21,583.8,2025-02-19 10:14:26.695259,Debit
85,8954,21,139.68,2025-02-03 10:43:40.438653,Credit
86,829,29,1447.51,2025-01-07 17:01:22.969505,Net Banking
87,9936,13,657.1,2025-01-28 01:33:09.177901,Credit
88,8664,23,16786.6,2025-03-09 08:28:56.265278,Net Banking
89,8311,24,58.7,2025-02-11 07:36:09.446929,Net Banking
90,8077,30,193.79999999999998,2025-02-01 18:08:46.814108,Wire Transfer
91,5165,20,469.84,2025-01-30 03:55:18.425892,Debit
92,2350,19,6482.84,2025-01-10 04:49:07.203912,Net Banking
93,8671,13,2557.8,2025-01-24 23:38:25.102911,Debit
94,6070,22,7.25,2025-03-10 20:23:59.356683,Net Banking
95,6478,16,475.16999999999996,2025-01-19 20:13:03.084095,Wire Transfer
96,2661,27,121.6,2025-02-28 15:31:56.943440,Debit
97,1083,8,671.61,2025-01-25 03:13:16.043283,Wire Transfer
98,4002,18,484.42,2025-02-17 08:17:05.744471,Debit
99,5626,7,118.8,2025-02-05 13:16:27.295397,Debit
100,4075,15,188.16,2025-02-12 03:46:57.029808,Net Banking
101,3400,3,22036.8,2025-03-20 18:05:49.301347,Wire Transfer
102,3651,30,180.32999999999998,2025-03-20 16:30:09.995244,Wire Transfer
103,7270,17,20.1,2025-01-21 04:26:25.873283,Credit
104,727,12,490.56000000000006,2025-02-07 02:02:11.751264,Net Banking
105,6810,30,108.78,2025-01-17 21:00:27.984710,Credit
106,3884,23,4251.91,2025-01-20 13:23:25.063172,Debit
107,9525,9,1306.68,2025-01-20 21:28:48.166817,Debit
108,4720,23,22219.6,2025-03-10 13:22:30.760588,Credit
109,6358,2,711.48,2025-01-19 12:31:18.293438,Net Banking
110,7467,8,1003.76,2025-03-11 17:47:55.382494,Debit
111,7501,18,288.12,2025-01-29 01:59:14.200285,Wire Transfer
112,8982,18,578.52,2025-01-05 13:09:28.579447,Net Banking
113,8888,12,124.19,2025-01-25 06:08:24.188672,Wire Transfer
114,8749,14,89.12,2025-02-17 13:40:10.012763,Credit
115,9017,17,40.16,2025-03-18 07:28:14.384588,Net Banking
116,7463,30,57.01,2025-03-22 21:49:55.263931,Debit
117,4147,28,1259.04,2025-02-01 20:51:46.851116,Wire Transfer
118,2742,22,19.830000000000002,2025-02-16 08:57:14.620228,Debit
119,1423,11,1140.8,2025-02-10 20:09:19.153236,Credit
120,1308,30,242.0,2025-01-08 20:29:17.470448,Net Banking
121,7331,18,723.12,2025-01-31 16:22:32.691716,Wire Transfer
122,9914,24,287.2,2025-02-05 05:32:37.925329,Net Banking
123,3898,22,6.62,2025-01-01 09:32:19.604980,Debit
124,5683,17,47.88,2025-02-25 13:00:43.976382,Wire Transfer
125,7774,4,860.96,2025-03-22 14:56:29.344774,Credit
126,7473,6,202.78,2025-03-09 09:18:01.102721,Debit
127,5706,13,2734.28,2025-02-24 00:39:37.294546,Debit
128,6793,11,320.04,2025-02-04 21:24:18.314545,Debit
129,7393,16,558.36,2025-01-16 20:29:57.536570,Credit
130,6889,23,8664.38,2025-02-25 10:49:49.967697,Debit
131,1149,13,1968.66,2025-03-18 08:47:11.383832,Debit
132,2965,14,437.8,2025-02-22 02:29:04.525590,Credit
133,333,29,5289.66,2025-01-08 10:18:23.984051,Wire Transfer
134,5935,6,247.38,2025-01-30 04:57:51.155277,Wire Transfer
135,7601,8,1003.76,2025-02-27 19:45:57.475480,Credit
136,6136,8,707.4300000000001,2025-03-08 05:32:17.678946,Net Banking
137,9174,27,63.08,2025-02-08 16:19:44.541151,Debit
138,1627,7,62.8,2025-02-06 10:34:57.082898,Wire Transfer
139,4128,9,2847.8,2025-03-20 06:07:03.549213,Wire Transfer
140,4096,27,79.80000000000001,2025-01-20 17:22:23.843003,Debit
141,5409,13,497.19,2025-02-15 10:17:50.367169,Credit
142,1462,3,12650.130000000001,2025-01-12 22:57:17.775525,Credit
143,2467,8,174.17,2025-01-31 18:31:02.156224,Credit
144,8860,29,1792.42,2025-01-07 09:53:07.520178,Net Banking
145,7216,3,21771.48,2025-02-22 04:58:56.411438,Credit
146,373,22,31.92,2025-01-19 14:22:39.112224,Credit
147,6026,1,2108.56,2025-03-16 06:37:45.148643,Debit
148,9010,16,368.12,2025-03-22 00:01:55.568055,Debit
149,8511,3,18966.24,2025-03-08 00:44:18.445879,Wire Transfer
150,4930,17,65.6,2025-01-12 00:11:29.684886,Net Banking
151,5845,24,231.0,2025-02-05 15:52:43.582377,Net Banking
152,4045,27,45.42,2025-02-11 07:38:27.363578,Debit
153,8591,22,29.4,2025-03-13 12:59:24.994945,Wire Transfer
154,4094,12,392.34000000000003,2025-02-13 10:15:49.964630,Credit
155,4474,1,1491.18,2025-01-09 23:51:37.199771,Credit
156,4344,1,1273.02,2025-02-25 16:36:29.403662,Net Banking
157,5358,3,8144.72,2025-03-08 23:58:58.179945,Debit
158,6130,27,87.69,2025-01-19 08:29:25.155057,Credit
159,7048,20,885.08,2025-03-02 01:44:05.164274,Debit
160,2577,9,2996.94,2025-01-23 04:38:05.274258,Debit
161,9633,8,483.28,2025-02-19 20:03:37.792181,Net Banking
162,1678,28,684.92,2025-01-21 08:51:09.195903,Credit
163,5527,30,137.66,2025-03-17 13:08:04.984265,Debit
164,7230,26,1432.41,2025-01-22 03:43:24.628036,Net Banking
165,2991,21,289.08,2025-03-02 07:43:50.949246,Debit
166,1012,20,250.81,2025-01-27 12:19:42.072654,Net Banking
167,6296,11,932.28,2025-02-20 13:21:21.500616,Wire Transfer
168,8119,12,123.69,2025-03-24 13:09:15.171976,Debit
169,8899,12,338.15999999999997,2025-01-10 20:36:31.551733,Credit
170,2459,21,638.28,2025-03-08 21:14:02.217990,Debit
171,6501,4,408.96,2025-01-18 20:05:14.031005,Net Banking
172,7166,15,154.89000000000001,2025-03-19 03:54:37.207858,Debit
173,2731,1,646.63,2025-01-20 05:52:24.349323,Credit
174,3601,24,250.14,2025-03-01 13:06:20.716253,Debit
175,7468,16,605.92,2025-01-16 20:31:01.019768,Net Banking
176,8148,13,2171.16,2025-01-12 02:47:44.898298,Wire Transfer
177,1367,2,249.9,2025-03-22 02:36:16.667724,Debit
178,9477,23,10762.4,2025-03-11 13:30:32.643742,Net Banking
179,7130,8,750.44,2025-01-08 07:44:34.304161,Credit
180,275,25,120.54,2025-03-12 11:30:27.935367,Debit
181,3221,11,866.25,2025-01-15 18:11:44.361632,Debit
182,7596,2,1011.84,2025-01-14 02:36:09.342692,Net Banking
183,5872,18,288.05,2025-03-23 01:40:23.878344,Net Banking
184,583,14,273.33,2025-01-24 04:56:53.446051,Wire Transfer
185,3410,25,57.21,2025-01-15 04:54:35.385462,Credit
186,1255,13,1454.1299999999999,2025-02-24 11:04:43.726875,Debit
187,2101,2,807.1200000000001,2025-02-06 05:49:32.493722,Wire Transfer
188,2649,11,803.19,2025-01-13 04:20:05.904659,Credit
189,7993,15,48.19,2025-01-18 16:14:11.088832,Wire Transfer
190,2873,15,212.88,2025-01-09 21:55:15.326741,Credit
191,4447,17,47.79,2025-01-18 19:54:12.394115,Net Banking
192,4118,27,30.22,2025-03-07 02:33:19.982953,Credit
193,6853,1,467.47,2025-03-15 14:06:18.729865,Wire Transfer
194,3927,1,938.18,2025-03-17 16:31:12.697804,Wire Transfer
195,4982,13,667.3,2025-03-03 13:00:24.317806,Credit
196,4272,19,6717.8,2025-02-05 07:39:00.302063,Net Banking
197,4869,28,1490.56,2025-01-02 12:09:39.838071,Debit
198,931,13,2602.6,2025-01-14 07:14:41.512478,Credit
199,5596,15,52.19,2025-03-02 01:26:04.882102,Wire Transfer
200,7429,11,602.92,2025-02-22 12:16:16.174938,Net Banking
201,8438,9,3100.74,2025-02-03 02:47:10.000158,Net Banking
202,8189,29,1570.84,2025-02-28 21:39:25.216821,Credit
203,3852,16,298.9,2025-02-25 21:18:15.482686,Debit
204,1774,13,461.12,2025-03-06 23:25:05.669952,Credit
205,5816,26,401.48,2025-03-21 13:11:51.295897,Net Banking
206,7348,14,371.36,2025-03-06 23:44:59.492778,Debit
207,5860,7,25.49,2025-03-16 12:56:25.095782,Credit
208,4454,20,290.96,2025-02-03 19:53:53.929279,Credit
209,1288,14,246.08,2025-02-10 09:32:05.141343,Wire Transfer
210,5445,15,106.4,2025-03-12 00:20:56.910966,Debit
211,3414,21,648.76,2025-01-15 21:43:51.363812,Net Banking
212,1337,3,12516.66,2025-01-22 07:31:46.087002,Wire Transfer
213,2989,5,67.6,2025-03-15 12:03:04.627779,Wire Transfer
214,9193,1,1014.02,2025-01-29 13:14:34.573352,Net Banking
215,7684,6,307.46999999999997,2025-01-05 10:53:08.840921,Net Banking
216,2822,15,113.68,2025-03-08 05:53:42.336747,Credit
217,1863,18,865.64,2025-03-13 06:04:06.965841,Credit
218,1388,28,1218.6,2025-01-24 01:05:17.419829,Wire Transfer
219,2018,20,715.3199999999999,2025-01-05 07:23:04.816347,Net Banking
220,6007,29,2602.4,2025-03-01 08:49:54.582452,Wire Transfer
221,753,23,10998.04,2025-03-14 22:45:29.845490,Net Banking
222,5190,27,62.7,2025-02-17 11:11:50.354605,Credit
223,4960,17,49.38,2025-02-28 12:48:56.638483,Net Banking
224,9367,9,2206.36,2025-01-29 03:12:06.022594,Credit
225,6965,13,1808.0700000000002,2025-01-03 07:26:30.428969,Credit
226,9811,18,623.4300000000001,2025-02-18 02:05:55.762869,Debit
227,6265,2,879.5699999999999,2025-01-20 02:25:57.708265,Debit
228,6171,23,18834.92,2025-02-22 03:43:07.369563,Net Banking
229,5507,5,339.24,2025-01-26 00:30:00.104489,Credit
230,552,30,214.89,2025-02-25 04:07:05.896709,Net Banking
231,840,12,112.38,2025-02-01 00:16:13.975851,Wire Transfer
232,1538,4,658.14,2025-02-08 07:44:13.999454,Credit
233,9711,14,378.84,2025-01-23 21:57:05.054946,Debit
234,7779,7,27.78,2025-01-09 13:36:16.523022,Debit
235,9291,7,89.76,2025-02-18 13:06:11.785388,Net Banking
236,4848,23,16770.6,2025-02-27 13:07:14.525073,Credit
237,5216,14,365.96999999999997,2025-02-10 05:54:24.909537,Credit
238,4100,20,538.88,2025-03-11 19:13:32.705750,Credit
239,8117,3,9599.52,2025-02-25 01:15:09.924425,Net Banking
240,1602,14,373.72,2025-01-10 17:53:18.945906,Wire Transfer
241,5384,6,462.48,2025-02-06 23:42:15.952338,Credit
242,8635,15,145.44,2025-02-12 02:02:25.863482,Credit
243,8491,1,1488.0,2025-02-26 16:38:07.495855,Net Banking
244,7750,20,242.48,2025-02-13 00:14:53.084747,Credit
245,8597,23,9882.04,2025-03-03 20:23:36.631190,Debit
246,6398,25,105.24,2025-03-02 10:17:25.480762,Net Banking
247,1441,25,126.7,2025-02-02 05:44:15.672987,Net Banking
248,8635,16,142.19,2025-01-06 04:57:05.001307,Debit
249,2379,15,161.97,2025-02-12 23:01:38.096311,Credit
250,6614,9,2699.34,2025-03-21 01:43:30.410505,Wire Transfer
251,729,2,776.6999999999999,2025-02-05 04:02:14.847249,Wire Transfer
252,8445,23,8882.98,2025-03-08 07:52:28.654093,Wire Transfer
253,2387,20,544.28,2025-03-13 09:47:22.838681,Credit
254,9891,8,769.71,2025-03-21 01:16:01.827261,Net Banking
255,2754,21,472.16999999999996,2025-01-22 11:59:04.109634,Credit
256,4634,18,1117.2,2025-02-19 00:39:01.212896,Net Banking
257,3655,13,583.61,2025-02-26 14:06:47.663361,Wire Transfer
258,980,9,2614.48,2025-03-13 20:30:49.300483,Net Banking
259,1046,21,108.99,2025-01-14 18:08:51.570144,Net Banking
260,3670,24,71.74,2025-01-28 11:04:20.594317,Net Banking
261,3331,30,196.36,2025-01-18 23:56:38.506728,Net Banking
262,7368,8,937.12,2025-03-23 09:18:22.292971,Net Banking
263,5843,26,1640.6,2025-01-17 19:24:43.056656,Credit
264,5764,21,326.02,2025-02-16 20:34:19.128338,Credit
265,511,28,1526.56,2025-01-02 13:24:21.001857,Net Banking
266,3847,27,21.86,2025-01-31 01:30:18.372259,Net Banking
267,631,22,22.59,2025-03-19 04:58:44.483591,Wire Transfer
268,3359,4,363.71,2025-02-21 05:49:04.673563,Net Banking
269,6759,8,794.2,2025-03-11 13:56:56.338395,Wire Transfer
270,4750,13,1099.06,2025-01-22 10:50:46.567811,Debit
271,1380,25,111.64,2025-01-18 19:40:27.407322,Wire Transfer
272,2931,18,760.08,2025-01-17 09:23:13.903284,Wire Transfer
273,3972,2,829.4,2025-01-13 16:15:58.754646,Debit
274,9215,18,892.17,2025-02-28 12:04:35.822067,Debit
275,1592,11,313.08,2025-02-02 18:05:24.532599,Net Banking
276,2406,27,105.2,2025-02-11 05:51:40.018567,Debit
277,2013,14,371.96,2025-03-14 17:32:46.509114,Net Banking
278,1831,15,255.88,2025-01-25 00:29:32.077897,Debit
279,7856,3,20859.68,2025-02-11 23:35:37.792856,Net Banking
280,6335,2,1170.72,2025-02-02 10:06:00.687650,Wire Transfer
281,6200,23,8928.32,2025-01-02 22:56:01.895027,Debit
282,5317,20,931.8000000000001,2025-01-06 15:53:34.726616,Credit
283,6855,1,2359.16,2025-01-24 10:43:12.393913,Credit
284,1691,10,1097.88,2025-01-28 00:49:46.510446,Credit
285,585,21,340.95000000000005,2025-02-27 10:31:13.922717,Debit
286,3153,16,350.48,2025-02-16 20:52:05.144770,Net Banking
287,8979,13,2625.88,2025-02-07 19:02:58.083364,Wire Transfer
288,1738,24,258.2,2025-02-03 21:25:55.097780,Credit
289,5176,17,38.48,2025-01-05 07:28:21.031207,Credit
290,6311,19,5973.6900000000005,2025-02-01 20:38:13.662000,Net Banking
291,482,2,233.45,2025-02-28 16:05:40.337382,Net Banking
292,168,1,1570.62,2025-03-17 06:16:45.531497,Credit
293,392,23,21044.2,2025-01-15 17:31:01.197977,Wire Transfer
294,2633,1,556.39,2025-02-05 18:50:59.041676,Wire Transfer
295,5340,24,303.0,2025-01-20 08:45:40.086169,Net Banking
296,8585,20,665.8199999999999,2025-03-10 18:08:53.061523,Net Banking
297,663,10,278.37,2025-02-05 11:08:36.410574,Credit
298,5735,12,364.83,2025-02-23 21:54:27.020689,Net Banking
299,1894,1,1968.69,2025-01-21 14:34:51.156552,Net Banking
300,6525,9,6264.64,2025-02-18 14:37:52.319004,Net Banking
301,6373,2,897.24,2025-03-06 15:07:30.917399,Debit
302,5864,6,102.35,2025-01-02 23:59:55.491669,Net Banking
303,6021,11,559.92,2025-01-26 17:35:48.899207,Debit
304,5269,17,19.36,2025-02-12 21:09:43.974592,Wire Transfer
305,8621,5,228.42000000000002,2025-02-20 21:13:37.547382,Debit
306,7333,20,289.22,2025-03-12 21:54:31.004515,Credit
307,5732,29,2595.46,2025-02-08 04:59:41.200651,Wire Transfer
308,3789,16,357.16,2025-02-19 19:38:18.734334,Debit
309,1845,28,350.45,2025-02-22 18:23:38.666968,Net Banking
310,2319,14,339.03000000000003,2025-02-13 17:03:02.750101,Debit
311,8906,25,100.7,2025-01-14 23:42:07.930111,Debit
312,1315,8,664.14,2025-01-30 00:12:54.982323,Debit
313,1069,9,2452.56,2025-01-06 04:13:19.813323,Credit
314,2156,30,187.95,2025-01-22 03:40:36.588623,Wire Transfer
315,1464,29,4539.87,2025-02-26 00:44:52.702196,Net Banking
316,9948,30,151.29,2025-03-07 21:17:03.075727,Credit
317,5107,9,1094.15,2025-03-01 00:13:17.144553,Credit
318,7410,26,526.19,2025-01-04 02:01:21.276760,Net Banking
319,7185,6,102.78,2025-02-18 23:55:59.910065,Net Banking
320,1017,6,118.55,2025-02-06 05:09:01.012335,Debit
321,4984,28,1320.16,2025-02-16 21:27:42.926967,Credit
322,3219,21,632.24,2025-03-10 19:40:30.086074,Credit
323,7185,2,756.66,2025-03-18 22:35:25.670650,Debit
324,5590,17,20.23,2025-01-25 22:53:32.232068,Debit
325,8779,17,57.44,2025-02-18 11:23:48.796297,Net Banking
326,5923,22,16.47,2025-03-15 04:05:30.950229,Net Banking
327,2102,10,1150.48,2025-03-04 11:22:52.347566,Net Banking
328,7856,11,523.08,2025-03-13 22:44:34.545837,Debit
329,3761,17,52.349999999999994,2025-03-21 18:15:58.180430,Wire Transfer
330,6623,11,481.04,2025-01-30 12:58:00.628949,Credit
331,1040,29,5902.8,2025-03-06 11:14:58.340360,Debit
332,9206,8,687.8100000000001,2025-01-16 15:10:02.602838,Credit
333,2139,22,6.94,2025-02-16 16:16:23.902197,Net Banking
334,874,30,64.88,2025-02-07 09:53:34.300554,Wire Transfer
335,2169,24,197.43,2025-02-28 08:25:06.299135,Wire Transfer
336,2004,12,466.89,2025-01-22 13:55:02.427073,Debit
337,3004,2,229.31,2025-03-02 14:13:26.568387,Net Banking
338,8278,7,105.28,2025-02-06 22:03:36.598602,Debit
339,9501,23,5360.14,2025-01-30 14:37:24.585120,Wire Transfer
340,2429,27,84.96000000000001,2025-01-30 17:20:25.832275,Credit
341,9923,8,427.38,2025-01-27 02:51:12.585590,Credit
342,5021,11,681.03,2025-02-28 04:09:49.724554,Net Banking
343,6275,27,123.92,2025-01-26 22:20:22.620341,Credit
344,3302,30,181.32,2025-02-02 12:05:16.791866,Net Banking
345,5955,29,5931.0,2025-03-06 00:34:07.252654,Debit
346,4711,17,16.06,2025-02-17 01:27:11.243564,Credit
347,5585,4,1257.18,2025-02-17 22:08:17.731257,Credit
348,7005,2,517.98,2025-01-10 05:32:32.905084,Credit
349,4087,21,324.02,2025-03-24 11:36:08.628869,Credit
350,8061,16,466.11,2025-01-04 15:08:34.296541,Net Banking
351,6943,29,6677.64,2025-03-22 04:45:36.893247,Credit
352,8822,15,105.16,2025-03-08 07:45:30.658087,Debit
353,9868,23,12734.670000000002,2025-01-26 20:30:10.350221,Net Banking
354,1933,21,330.78000000000003,2025-01-30 01:33:47.120495,Debit
355,4368,24,282.92,2025-03-08 00:00:23.962361,Debit
356,3297,10,906.16,2025-03-12 21:18:41.663579,Credit
357,389,9,5183.96,2025-02-09 20:01:06.435872,Wire Transfer
358,7204,24,74.12,2025-01-28 00:23:28.431311,Debit
359,5794,29,1538.82,2025-02-09 20:40:03.245743,Debit
360,5005,2,998.92,2025-03-18 17:15:59.648168,Credit
361,998,18,1162.32,2025-01-27 06:12:11.416262,Net Banking
362,9973,29,1570.78,2025-01-02 09:47:04.141405,Credit
363,8914,17,37.84,2025-03-19 21:03:08.627757,Credit
364,3585,18,214.78,2025-01-01 07:39:45.867213,Debit
365,9848,1,1297.52,2025-03-11 08:12:05.099589,Net Banking
366,4428,10,816.8,2025-02-19 10:24:33.800159,Credit
367,5391,19,1851.3,2025-02-12 12:31:24.284743,Credit
368,8215,5,128.38,2025-03-12 11:09:43.034209,Debit
369,8438,26,1078.54,2025-02-21 14:22:33.413079,Debit
370,525,27,76.14,2025-01-15 01:14:00.479729,Credit
371,2398,26,1097.74,2025-02-09 22:31:32.154303,Credit
372,5454,30,171.72,2025-01-26 23:00:43.288111,Credit
373,8140,1,1254.16,2025-01-17 16:46:40.102386,Debit
374,3924,15,187.56,2025-01-26 03:58:20.448050,Wire Transfer
375,2455,4,833.42,2025-02-02 17:58:19.511650,Net Banking
376,6359,14,111.23,2025-03-07 04:22:24.293445,Net Banking
377,8758,10,803.44,2025-01-31 04:15:17.365351,Net Banking
378,5670,18,727.14,2025-02-22 21:02:32.984612,Net Banking
379,4445,13,1808.7599999999998,2025-03-15 12:39:10.271087,Debit
380,8231,12,128.75,2025-01-27 19:44:30.709650,Wire Transfer
381,4084,17,56.16,2025-03-16 17:31:46.791711,Debit
382,3091,13,2159.92,2025-03-14 08:35:32.457593,Net Banking
383,5271,19,6338.43,2025-03-21 06:18:35.181121,Credit
384,3590,10,776.8799999999999,2025-02-24 03:25:26.758641,Credit
385,5785,14,325.62,2025-02-19 03:16:55.438548,Net Banking
386,3133,2,603.96,2025-02-06 23:03:54.746508,Net Banking
387,4706,2,262.4,2025-03-05 04:39:55.719887,Credit
388,8231,10,218.87,2025-01-29 20:07:25.543834,Credit
389,3647,30,197.13,2025-02-19 09:00:28.656853,Net Banking
390,6051,7,97.8,2025-03-20 02:55:09.622720,Debit
391,2062,2,702.27,2025-02-04 09:14:06.717133,Wire Transfer
392,6355,25,191.85000000000002,2025-01-25 16:18:11.159244,Net Banking
393,8521,9,3598.5299999999997,2025-03-02 03:27:37.906500,Credit
394,6050,20,1100.6,2025-02-08 21:52:39.550448,Debit
395,442,7,66.44999999999999,2025-02-25 20:49:38.049067,Credit
396,8928,8,502.6,2025-03-16 02:08:52.319716,Wire Transfer
397,8254,15,235.52,2025-01-16 05:18:47.337448,Debit
398,9924,28,1321.68,2025-01-22 05:58:03.928414,Debit
399,2187,20,781.5,2025-01-10 03:37:31.311371,Net Banking
400,9042,5,315.6,2025-03-13 03:18:55.572543,Credit
401,4708,7,23.06,2025-02-07 04:13:12.082353,Wire Transfer
402,7271,24,115.38,2025-01-10 15:44:53.732928,Credit
403,8815,21,641.44,2025-01-14 03:39:18.824572,Debit
404,6646,27,23.62,2025-01-15 20:11:16.451914,Wire Transfer
405,2282,12,645.4,2025-03-22 23:36:44.686277,Wire Transfer
406,7433,1,963.9,2025-02-05 11:55:56.910132,Debit
407,8393,1,1564.9499999999998,2025-01-16 06:18:55.263243,Debit
408,3122,26,409.13,2025-02-25 14:20:50.746069,Credit
409,5998,8,476.9,2025-01-02 16:09:44.863129,Wire Transfer
410,5452,23,5462.29,2025-02-09 04:57:37.816342,Net Banking
411,1829,22,15.58,2025-03-20 08:28:01.063639,Net Banking
412,9399,23,14005.74,2025-01-13 12:46:12.840770,Credit
413,6340,11,1253.96,2025-03-13 04:16:18.494962,Net Banking
414,6166,27,121.08,2025-02-17 05:11:20.936206,Debit
415,5447,2,1083.4,2025-01-07 23:54:15.516175,Debit
416,1410,14,109.5,2025-01-31 09:29:19.000905,Wire Transfer
417,8541,28,881.61,2025-02-20 18:27:14.584814,Net Banking
418,6881,2,954.04,2025-01-09 16:10:10.854937,Debit
419,2390,4,914.04,2025-01-30 02:31:51.811637,Wire Transfer
420,2313,18,847.56,2025-03-24 11:55:28.702791,Wire Transfer
421,9636,16,705.44,2025-01-15 15:58:28.049877,Debit
422,3941,13,2600.92,2025-01-04 12:20:32.180619,Net Banking
